,Accession,Dataset,Tissue,CellLine,PrimaryCell,Lab,Link,DataType,Controls
203,ENCFF000AYI,/experiments/ENCSR000AMH/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AYI/@@download/ENCFF000AYI.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
205,ENCFF001ESK,/experiments/ENCSR000DQK/,.,Caco-2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ESK/@@download/ENCFF001ESK.bigWig,raw signal,"/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/"
206,ENCFF001ESN,/experiments/ENCSR000DQK/,.,Caco-2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ESN/@@download/ENCFF001ESN.bigWig,raw signal,"/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/"
211,ENCFF001ELU,/experiments/ENCSR000DPD/,.,A549,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ELU/@@download/ENCFF001ELU.bigWig,raw signal,"/files/ENCFF001GVS/, /files/ENCFF001GVV/, /files/ENCFF001GWE/, /files/ENCFF436BUU/, /files/ENCFF596HJP/, /files/ENCFF956TQZ/, /files/ENCFF251TYG/"
212,ENCFF001ELX,/experiments/ENCSR000DPD/,.,A549,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ELX/@@download/ENCFF001ELX.bigWig,raw signal,"/files/ENCFF001GVS/, /files/ENCFF001GVV/, /files/ENCFF001GWE/, /files/ENCFF436BUU/, /files/ENCFF596HJP/, /files/ENCFF956TQZ/, /files/ENCFF251TYG/"
218,ENCFF001FNJ,/experiments/ENCSR000DUO/,.,HL-60,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FNJ/@@download/ENCFF001FNJ.bigWig,raw signal,"/files/ENCFF001HOW/, /files/ENCFF001HOX/, /files/ENCFF001HPI/, /files/ENCFF151YAO/, /files/ENCFF337ZUN/, /files/ENCFF381QLN/, /files/ENCFF945XQT/"
219,ENCFF001FNK,/experiments/ENCSR000DUO/,.,HL-60,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FNK/@@download/ENCFF001FNK.bigWig,raw signal,"/files/ENCFF001HOW/, /files/ENCFF001HOX/, /files/ENCFF001HPI/, /files/ENCFF151YAO/, /files/ENCFF337ZUN/, /files/ENCFF381QLN/, /files/ENCFF945XQT/"
239,ENCFF000BBF,/experiments/ENCSR000APW/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BBF/@@download/ENCFF000BBF.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
242,ENCFF000AOS,/experiments/ENCSR000AQV/,.,DND-41,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AOS/@@download/ENCFF000AOS.bigWig,signal,"/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/"
244,ENCFF000AQM,/experiments/ENCSR000AQX/,.,DND-41,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AQM/@@download/ENCFF000AQM.bigWig,signal,"/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/"
