,Accession,Dataset,Tissue,CellLine,PrimaryCell,Lab,Link,DataType,Controls
295,ENCFF001FJO,/experiments/ENCSR000DTU/,.,HEK293,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FJO/@@download/ENCFF001FJO.bigWig,raw signal,"/files/ENCFF001HMT/, /files/ENCFF001HMU/, /files/ENCFF001HNC/, /files/ENCFF854RYT/, /files/ENCFF846BEG/, /files/ENCFF080FAA/, /files/ENCFF986XGP/"
296,ENCFF001FJP,/experiments/ENCSR000DTU/,.,HEK293,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FJP/@@download/ENCFF001FJP.bigWig,raw signal,"/files/ENCFF001HMT/, /files/ENCFF001HMU/, /files/ENCFF001HNC/, /files/ENCFF854RYT/, /files/ENCFF846BEG/, /files/ENCFF080FAA/, /files/ENCFF986XGP/"
303,ENCFF000BEK,/experiments/ENCSR000AOK/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BEK/@@download/ENCFF000BEK.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
305,ENCFF000BCJ,/experiments/ENCSR000AOE/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BCJ/@@download/ENCFF000BCJ.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
306,ENCFF000BFC,/experiments/ENCSR000AMO/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BFC/@@download/ENCFF000BFC.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
307,ENCFF000AUS,/experiments/ENCSR000AKI/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AUS/@@download/ENCFF000AUS.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
308,ENCFF000BWA,/experiments/ENCSR000AKY/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BWA/@@download/ENCFF000BWA.bigWig,signal,
309,ENCFF000BZZ,/experiments/ENCSR000ATY/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BZZ/@@download/ENCFF000BZZ.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
310,ENCFF000BVW,/experiments/ENCSR000AVD/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BVW/@@download/ENCFF000BVW.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
311,ENCFF000BYR,/experiments/ENCSR000AKW/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BYR/@@download/ENCFF000BYR.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
312,ENCFF000CBP,/experiments/ENCSR000ATM/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000CBP/@@download/ENCFF000CBP.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
313,ENCFF000BVE,/experiments/ENCSR000ATV/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BVE/@@download/ENCFF000BVE.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
314,ENCFF000CAD,/experiments/ENCSR000AVE/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000CAD/@@download/ENCFF000CAD.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
315,ENCFF000BVT,/experiments/ENCSR000ATL/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BVT/@@download/ENCFF000BVT.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
316,ENCFF000CAO,/experiments/ENCSR000ATZ/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000CAO/@@download/ENCFF000CAO.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
317,ENCFF000BVA,/experiments/ENCSR000ATU/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BVA/@@download/ENCFF000BVA.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
318,ENCFF000BWL,/experiments/ENCSR000AQE/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BWL/@@download/ENCFF000BWL.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
319,ENCFF000CCC,/experiments/ENCSR000AUB/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000CCC/@@download/ENCFF000CCC.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
320,ENCFF000CBY,/experiments/ENCSR000AUT/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000CBY/@@download/ENCFF000CBY.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
321,ENCFF000CBQ,/experiments/ENCSR000AUA/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000CBQ/@@download/ENCFF000CBQ.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
322,ENCFF000BUW,/experiments/ENCSR000ATT/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BUW/@@download/ENCFF000BUW.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
323,ENCFF000BXV,/experiments/ENCSR000AKT/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BXV/@@download/ENCFF000BXV.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
324,ENCFF000BYB,/experiments/ENCSR000AKU/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BYB/@@download/ENCFF000BYB.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
325,ENCFF000BZV,/experiments/ENCSR000ATX/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BZV/@@download/ENCFF000BZV.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
326,ENCFF001FKA,/experiments/ENCSR000DTY/,.,HeLa-S3,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FKA/@@download/ENCFF001FKA.bigWig,raw signal,"/files/ENCFF001HNF/, /files/ENCFF001HNH/, /files/ENCFF001HNS/, /files/ENCFF909YLO/, /files/ENCFF883FFC/, /files/ENCFF111FGZ/, /files/ENCFF780LIV/"
327,ENCFF001FKB,/experiments/ENCSR000DTY/,.,HeLa-S3,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FKB/@@download/ENCFF001FKB.bigWig,raw signal,"/files/ENCFF001HNF/, /files/ENCFF001HNH/, /files/ENCFF001HNS/, /files/ENCFF909YLO/, /files/ENCFF883FFC/, /files/ENCFF111FGZ/, /files/ENCFF780LIV/"
332,ENCFF001ENM,/experiments/ENCSR000DPK/,.,AG04450,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ENM/@@download/ENCFF001ENM.bigWig,raw signal,"/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/"
335,ENCFF000AXO,/experiments/ENCSR000AMG/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AXO/@@download/ENCFF000AXO.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
336,ENCFF001EOU,/experiments/ENCSR000DPU/,.,AG09319,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EOU/@@download/ENCFF001EOU.bigWig,raw signal,"/files/ENCFF001GXT/, /files/ENCFF001GXU/, /files/ENCFF001GXZ/, /files/ENCFF942JSC/, /files/ENCFF073RIN/, /files/ENCFF817DKG/, /files/ENCFF696BBG/"
337,ENCFF001EOV,/experiments/ENCSR000DPU/,.,AG09319,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EOV/@@download/ENCFF001EOV.bigWig,raw signal,"/files/ENCFF001GXT/, /files/ENCFF001GXU/, /files/ENCFF001GXZ/, /files/ENCFF942JSC/, /files/ENCFF073RIN/, /files/ENCFF817DKG/, /files/ENCFF696BBG/"
338,ENCFF000AVY,/experiments/ENCSR000APX/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AVY/@@download/ENCFF000AVY.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
343,ENCFF001EQH,/experiments/ENCSR000DQB/,.,BE2C,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EQH/@@download/ENCFF001EQH.bigWig,raw signal,"/files/ENCFF001GZG/, /files/ENCFF001GZH/, /files/ENCFF001GZT/, /files/ENCFF345GLS/, /files/ENCFF540GSY/, /files/ENCFF165MAH/, /files/ENCFF054LVG/"
344,ENCFF001EQI,/experiments/ENCSR000DQB/,.,BE2C,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EQI/@@download/ENCFF001EQI.bigWig,raw signal,"/files/ENCFF001GZG/, /files/ENCFF001GZH/, /files/ENCFF001GZT/, /files/ENCFF345GLS/, /files/ENCFF540GSY/, /files/ENCFF165MAH/, /files/ENCFF054LVG/"
345,ENCFF001GFZ,/experiments/ENCSR000DXU/,.,WERI-Rb-1,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GFZ/@@download/ENCFF001GFZ.bigWig,raw signal,"/files/ENCFF001HYE/, /files/ENCFF001HYF/, /files/ENCFF001HYO/, /files/ENCFF185CQP/, /files/ENCFF497TEA/, /files/ENCFF627YEZ/, /files/ENCFF059EDI/"
346,ENCFF001GGA,/experiments/ENCSR000DXU/,.,WERI-Rb-1,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GGA/@@download/ENCFF001GGA.bigWig,raw signal,"/files/ENCFF001HYE/, /files/ENCFF001HYF/, /files/ENCFF001HYO/, /files/ENCFF185CQP/, /files/ENCFF497TEA/, /files/ENCFF627YEZ/, /files/ENCFF059EDI/"
347,ENCFF000API,/experiments/ENCSR000ARA/,.,DND-41,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000API/@@download/ENCFF000API.bigWig,signal,"/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/"
